id,model,year,trim,category,mileage_km,engine,transmission,fuel_type,color,region_specs,price_aed,price_sar
42,Honda Accord,2020,Touring,سيدان متوسطة,122171,2.0L توربو,10-Speed AT,بنزين,أبيض ثلجي,مواصفات يابانية,129000,131580
43,Honda Accord,2020,Touring,سيدان متوسطة,131384,2.0L توربو,10-Speed AT,بنزين,أخضر زيتوني,مواصفات أمريكية,110500,112710
44,Honda Accord,2020,Sport Hybrid,سيدان متوسطة,87259,2.0L هجين,CVT,بنزين,بيج شامبين,مواصفات أمريكية,99500,101490
45,Honda Accord,2020,Sport Hybrid,سيدان متوسطة,115369,2.0L هجين,CVT,بنزين,أبيض لؤلؤي,مواصفات يابانية,113500,115770
46,Honda Accord,2020,Sport Hybrid,سيدان متوسطة,77665,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات أمريكية,111000,113220
47,Honda Accord,2020,Touring Hybrid,سيدان متوسطة,94577,2.0L هجين,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),114500,116790
48,Honda Accord,2020,Touring Hybrid,سيدان متوسطة,111478,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),118000,120360
49,Honda Accord,2020,Touring Hybrid,سيدان متوسطة,119576,2.0L هجين,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),111000,113220
50,Honda Accord,2021,LX,سيدان متوسطة,57733,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),91500,93330
51,Honda Accord,2021,LX,سيدان متوسطة,97932,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات يابانية,98500,100470
52,Honda Accord,2021,LX,سيدان متوسطة,86080,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),98000,99960
53,Honda Accord,2021,Sport,سيدان متوسطة,85295,1.5L توربو,CVT,بنزين,برتقالي,مواصفات أمريكية,111500,113730
54,Honda Accord,2021,Sport,سيدان متوسطة,70791,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),100500,102510
55,Honda Accord,2021,Sport,سيدان متوسطة,111328,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات أمريكية,90500,92310
56,Honda Accord,2021,EX,سيدان متوسطة,68676,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),114500,116790
57,Honda Accord,2021,EX,سيدان متوسطة,68826,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),116000,118320
58,Honda Accord,2021,EX,سيدان متوسطة,70359,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات أمريكية,97000,98940
59,Honda Accord,2021,EX-L,سيدان متوسطة,90039,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),125000,127500
60,Honda Accord,2021,EX-L,سيدان متوسطة,59598,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات أمريكية,118500,120870
61,Honda Accord,2021,EX-L,سيدان متوسطة,103008,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),112000,114240
62,Honda Accord,2021,Touring,سيدان متوسطة,78901,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات خليجية (GCC),130500,133110
63,Honda Accord,2021,Touring,سيدان متوسطة,97635,2.0L توربو,10-Speed AT,بنزين,أبيض لؤلؤي,مواصفات يابانية,146000,148920
64,Honda Accord,2021,Touring,سيدان متوسطة,101764,2.0L توربو,10-Speed AT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),118000,120360
65,Honda Accord,2021,Sport Hybrid,سيدان متوسطة,100785,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات يابانية,113000,115260
66,Honda Accord,2021,Sport Hybrid,سيدان متوسطة,81064,2.0L هجين,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),119500,121890
67,Honda Accord,2021,Sport Hybrid,سيدان متوسطة,88446,2.0L هجين,CVT,بنزين,بني برونزي,مواصفات أمريكية,107500,109650
68,Honda Accord,2021,Touring Hybrid,سيدان متوسطة,81222,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),126000,128520
69,Honda Accord,2021,Touring Hybrid,سيدان متوسطة,102866,2.0L هجين,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),132000,134640
70,Honda Accord,2021,Touring Hybrid,سيدان متوسطة,86420,2.0L هجين,CVT,بنزين,أزرق داكن,مواصفات خليجية (GCC),149500,152490
71,Honda Accord,2022,LX,سيدان متوسطة,84124,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات يابانية,102000,104040
72,Honda Accord,2022,LX,سيدان متوسطة,55987,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),103000,105060
73,Honda Accord,2022,LX,سيدان متوسطة,55863,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات أمريكية,97500,99450
74,Honda Accord,2022,Sport,سيدان متوسطة,80217,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),97500,99450
75,Honda Accord,2022,Sport,سيدان متوسطة,79342,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),114500,116790
76,Honda Accord,2022,Sport,سيدان متوسطة,73252,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),99000,100980
77,Honda Accord,2022,EX,سيدان متوسطة,69889,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات أمريكية,116000,118320
78,Honda Accord,2022,EX,سيدان متوسطة,86350,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات يابانية,111500,113730
79,Honda Accord,2022,EX,سيدان متوسطة,56548,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),124000,126480
80,Honda Accord,2022,EX-L,سيدان متوسطة,74045,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),124000,126480
81,Honda Accord,2022,EX-L,سيدان متوسطة,68702,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),134000,136680
82,Honda Accord,2022,EX-L,سيدان متوسطة,70912,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),122500,124950
83,Honda Accord,2022,Touring,سيدان متوسطة,74490,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات يابانية,139000,141780
84,Honda Accord,2022,Touring,سيدان متوسطة,74358,2.0L توربو,10-Speed AT,بنزين,بني برونزي,مواصفات أمريكية,145000,147900
85,Honda Accord,2022,Touring,سيدان متوسطة,65152,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات يابانية,131500,134130
86,Honda Accord,2022,Sport Hybrid,سيدان متوسطة,64212,2.0L هجين,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),131500,134130
87,Honda Accord,2022,Sport Hybrid,سيدان متوسطة,77139,2.0L هجين,CVT,بنزين,أخضر زيتوني,مواصفات أمريكية,153000,156060
88,Honda Accord,2022,Sport Hybrid,سيدان متوسطة,91107,2.0L هجين,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),124500,126990
89,Honda Accord,2022,Touring Hybrid,سيدان متوسطة,59629,2.0L هجين,CVT,بنزين,أبيض لؤلؤي,مواصفات أمريكية,135500,138210
90,Honda Accord,2022,Touring Hybrid,سيدان متوسطة,85893,2.0L هجين,CVT,بنزين,أحمر كريستالي,مواصفات أمريكية,165500,168810
91,Honda Accord,2022,Touring Hybrid,سيدان متوسطة,73934,2.0L هجين,CVT,بنزين,بيج شامبين,مواصفات يابانية,136500,139230
92,Honda Accord,2023,LX,سيدان متوسطة,48470,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),114500,116790
93,Honda Accord,2023,LX,سيدان متوسطة,53624,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),114000,116280
94,Honda Accord,2023,Sport,سيدان متوسطة,57875,1.5L توربو,CVT,بنزين,أزرق داكن,مواصفات خليجية (GCC),115500,117810
95,Honda Accord,2023,Sport,سيدان متوسطة,59936,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),106500,108630
96,Honda Accord,2023,EX,سيدان متوسطة,61631,1.5L توربو,CVT,بنزين,برتقالي,مواصفات أمريكية,146000,148920
97,Honda Accord,2023,EX,سيدان متوسطة,59958,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),125500,128010
98,Honda Accord,2023,EX-L,سيدان متوسطة,39816,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات أمريكية,149000,151980
99,Honda Accord,2023,EX-L,سيدان متوسطة,49003,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات أمريكية,134500,137190
100,Honda Accord,2023,Touring,سيدان متوسطة,43200,2.0L توربو,10-Speed AT,بنزين,برتقالي,مواصفات خليجية (GCC),139500,142290
101,Honda Accord,2023,Touring,سيدان متوسطة,42040,2.0L توربو,10-Speed AT,بنزين,أبيض ثلجي,مواصفات يابانية,159500,162690
102,Honda Accord,2023,Sport Hybrid,سيدان متوسطة,46846,2.0L هجين,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),156000,159120
103,Honda Accord,2023,Sport Hybrid,سيدان متوسطة,33016,2.0L هجين,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),152500,155550
104,Honda Accord,2023,Touring Hybrid,سيدان متوسطة,54655,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),175000,178500
105,Honda Accord,2023,Touring Hybrid,سيدان متوسطة,55618,2.0L هجين,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),187500,191250
106,Honda Accord,2024,LX,سيدان متوسطة,47069,1.5L توربو,CVT,بنزين,برتقالي,مواصفات أوروبية,125500,128010
107,Honda Accord,2024,LX,سيدان متوسطة,42531,1.5L توربو,CVT,بنزين,برتقالي,مواصفات يابانية,132500,135150
108,Honda Accord,2024,Sport,سيدان متوسطة,37992,1.5L توربو,CVT,بنزين,أزرق داكن,مواصفات أمريكية,130000,132600
109,Honda Accord,2024,Sport,سيدان متوسطة,44019,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),129500,132090
110,Honda Accord,2024,EX,سيدان متوسطة,32203,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),140000,142800
111,Honda Accord,2024,EX,سيدان متوسطة,23907,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),133000,135660
112,Honda Accord,2024,EX-L,سيدان متوسطة,27062,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),156500,159630
113,Honda Accord,2024,EX-L,سيدان متوسطة,41078,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),137000,139740
114,Honda Accord,2024,Touring,سيدان متوسطة,41331,2.0L توربو,10-Speed AT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),189500,193290
115,Honda Accord,2024,Touring,سيدان متوسطة,39278,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات يابانية,151000,154020
116,Honda Accord,2024,Sport Hybrid,سيدان متوسطة,38643,2.0L هجين,CVT,بنزين,بني برونزي,مواصفات أمريكية,172000,175440
117,Honda Accord,2024,Sport Hybrid,سيدان متوسطة,42379,2.0L هجين,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),169500,172890
118,Honda Accord,2024,Touring Hybrid,سيدان متوسطة,35387,2.0L هجين,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),181000,184620
119,Honda Accord,2024,Touring Hybrid,سيدان متوسطة,32065,2.0L هجين,CVT,بنزين,بني برونزي,مواصفات أوروبية,166500,169830
120,Honda Accord,2025,LX,سيدان متوسطة,13896,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),118000,120360
121,Honda Accord,2025,LX,سيدان متوسطة,16787,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),127500,130050
122,Honda Accord,2025,Sport,سيدان متوسطة,15830,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),153500,156570
123,Honda Accord,2025,Sport,سيدان متوسطة,18464,1.5L توربو,CVT,بنزين,برتقالي,مواصفات أمريكية,141000,143820
124,Honda Accord,2025,EX,سيدان متوسطة,16154,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات أوروبية,138000,140760
125,Honda Accord,2025,EX,سيدان متوسطة,11797,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات أمريكية,137500,140250
126,Honda Accord,2025,EX-L,سيدان متوسطة,10599,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),182000,185640
127,Honda Accord,2025,EX-L,سيدان متوسطة,16632,1.5L توربو,CVT,بنزين,برتقالي,مواصفات يابانية,178500,182070
128,Honda Accord,2025,Touring,سيدان متوسطة,17241,2.0L توربو,10-Speed AT,بنزين,أسود معدني,مواصفات خليجية (GCC),173000,176460
129,Honda Accord,2025,Touring,سيدان متوسطة,14779,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات خليجية (GCC),169500,172890
130,Honda Accord,2025,Sport Hybrid,سيدان متوسطة,22582,2.0L هجين,CVT,بنزين,أحمر كريستالي,مواصفات يابانية,177500,181050
131,Honda Accord,2025,Sport Hybrid,سيدان متوسطة,17945,2.0L هجين,CVT,بنزين,أحمر كريستالي,مواصفات أمريكية,195500,199410
132,Honda Accord,2025,Touring Hybrid,سيدان متوسطة,13610,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),214000,218280
133,Honda Accord,2025,Touring Hybrid,سيدان متوسطة,16944,2.0L هجين,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),193000,196860
134,Honda Accord,2026,LX,سيدان متوسطة,564,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),158000,161160
135,Honda Accord,2026,LX,سيدان متوسطة,3441,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),157000,160140
136,Honda Accord,2026,Sport,سيدان متوسطة,3766,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),145000,147900
137,Honda Accord,2026,Sport,سيدان متوسطة,2212,1.5L توربو,CVT,بنزين,برتقالي,مواصفات أمريكية,170500,173910
138,Honda Accord,2026,EX,سيدان متوسطة,3568,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),184000,187680
139,Honda Accord,2026,EX,سيدان متوسطة,709,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات يابانية,163500,166770
140,Honda Accord,2026,EX-L,سيدان متوسطة,3806,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),192500,196350
141,Honda Accord,2026,EX-L,سيدان متوسطة,2755,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),157000,160140
142,Honda Accord,2026,Touring,سيدان متوسطة,1489,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات خليجية (GCC),207000,211140
143,Honda Accord,2026,Touring,سيدان متوسطة,2788,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات يابانية,193500,197370
144,Honda Accord,2026,Sport Hybrid,سيدان متوسطة,4553,2.0L هجين,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),165500,168810
145,Honda Accord,2026,Sport Hybrid,سيدان متوسطة,701,2.0L هجين,CVT,بنزين,برتقالي,مواصفات أمريكية,181000,184620
146,Honda Accord,2026,Touring Hybrid,سيدان متوسطة,4548,2.0L هجين,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),234500,239190
147,Honda Accord,2026,Touring Hybrid,سيدان متوسطة,4020,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات أمريكية,214500,218790
148,Honda Civic Sedan,2018,LX,سيدان صغيرة,133190,2.0L,CVT,بنزين,أزرق داكن,مواصفات أمريكية,49000,49980
149,Honda Civic Sedan,2018,LX,سيدان صغيرة,173270,2.0L,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),51000,52020
150,Honda Civic Sedan,2018,Sport,سيدان صغيرة,155785,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),53500,54570
151,Honda Civic Sedan,2018,Sport,سيدان صغيرة,131527,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),51000,52020
152,Honda Civic Sedan,2018,EX,سيدان صغيرة,134310,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات أوروبية,64000,65280
153,Honda Civic Sedan,2018,EX,سيدان صغيرة,119649,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),62500,63750
154,Honda Civic Sedan,2018,EX-L,سيدان صغيرة,169537,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات أوروبية,60000,61200
155,Honda Civic Sedan,2018,EX-L,سيدان صغيرة,133551,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),62500,63750
156,Honda Civic Sedan,2018,Touring,سيدان صغيرة,163081,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),64000,65280
157,Honda Civic Sedan,2018,Touring,سيدان صغيرة,168314,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),60000,61200
158,Honda Civic Sedan,2019,LX,سيدان صغيرة,90960,2.0L,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),53000,54060
159,Honda Civic Sedan,2019,LX,سيدان صغيرة,121094,2.0L,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),45000,45900
160,Honda Civic Sedan,2019,Sport,سيدان صغيرة,93153,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),64500,65790
161,Honda Civic Sedan,2019,Sport,سيدان صغيرة,87631,1.5L توربو,CVT,بنزين,أزرق داكن,مواصفات أمريكية,56000,57120
162,Honda Civic Sedan,2019,EX,سيدان صغيرة,92831,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات خليجية (GCC),60000,61200
163,Honda Civic Sedan,2019,EX,سيدان صغيرة,158297,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات أمريكية,63500,64770
164,Honda Civic Sedan,2019,EX-L,سيدان صغيرة,137920,1.5L توربو,CVT,بنزين,أخضر زيتوني,مواصفات يابانية,70000,71400
165,Honda Civic Sedan,2019,EX-L,سيدان صغيرة,123337,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),62000,63240
166,Honda Civic Sedan,2019,Touring,سيدان صغيرة,106285,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات أمريكية,74000,75480
167,Honda Civic Sedan,2019,Touring,سيدان صغيرة,109350,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),83500,85170
168,Honda Civic Sedan,2020,LX,سيدان صغيرة,114539,2.0L,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),67000,68340
169,Honda Civic Sedan,2020,LX,سيدان صغيرة,99952,2.0L,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),66500,67830
170,Honda Civic Sedan,2020,LX,سيدان صغيرة,102667,2.0L,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),57000,58140
171,Honda Civic Sedan,2020,Sport,سيدان صغيرة,91539,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات أمريكية,68000,69360
172,Honda Civic Sedan,2020,Sport,سيدان صغيرة,75580,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),69500,70890
173,Honda Civic Sedan,2020,Sport,سيدان صغيرة,102563,1.5L توربو,CVT,بنزين,أزرق داكن,مواصفات خليجية (GCC),62500,63750
174,Honda Civic Sedan,2020,EX,سيدان صغيرة,111024,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),83000,84660
175,Honda Civic Sedan,2020,EX,سيدان صغيرة,84700,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات يابانية,65500,66810
176,Honda Civic Sedan,2020,EX,سيدان صغيرة,130448,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),65000,66300
177,Honda Civic Sedan,2020,EX-L,سيدان صغيرة,125053,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),78500,80070
178,Honda Civic Sedan,2020,EX-L,سيدان صغيرة,121750,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات يابانية,85000,86700
179,Honda Civic Sedan,2020,EX-L,سيدان صغيرة,131681,1.5L توربو,CVT,بنزين,برتقالي,مواصفات أوروبية,87000,88740
180,Honda Civic Sedan,2020,Touring,سيدان صغيرة,107890,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات خليجية (GCC),87000,88740
181,Honda Civic Sedan,2020,Touring,سيدان صغيرة,88207,1.5L توربو,CVT,بنزين,أزرق داكن,مواصفات أمريكية,90000,91800
182,Honda Civic Sedan,2020,Touring,سيدان صغيرة,115378,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),75500,77010
183,Honda Civic Sedan,2021,LX,سيدان صغيرة,80971,2.0L,CVT,بنزين,أخضر زيتوني,مواصفات أوروبية,60000,61200
184,Honda Civic Sedan,2021,LX,سيدان صغيرة,97173,2.0L,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),75000,76500
